
Spring,2016,LIU, J.  (co-taught), Carnegie Mellon University,99352,SOFT SKILLS FABRICAT,A4,Lect,5,11,45%,3.80,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00

Spring,2016,DAVID TOURETZKY, Carnegie Mellon University,99353,SOLIDWORKS LASER CUT,A4,Lect,11,17,65%,7.50,4.36,3.82,4.45,4.09,4.45,4.36,4.27,4.45,4.45

Spring,2016,GARTH ZEGLIN, Carnegie Mellon University,99355,INTRO TO ARDUINO,A4,Lect,7,11,64%,5.86,4.86,4.43,4.57,4.86,4.71,4.43,4.86,4.57,4.71

Spring,2016,AMY BURKERT, Carnegie Mellon University,99405,DIRECTED STUDY,A,Lect,1,3,33%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00

Spring,2016,JUDITH HALLINEN, Carnegie Mellon University,99461,TUTOR TEACH & LEAD,A,Lect,3,3,100%,10.00,4.33,4.33,4.67,4.67,4.33,4.33,4.33,4.33,4.33

Spring,2016,DARAGH BYRNE, Carnegie Mellon University,49713,INTERNET OF THINGS,A3,Lect,22,31,71%,13.55,4.68,4.32,4.23,3.95,4.38,4.05,4.59,4.14,4.33

Spring,2016,DARAGH BYRNE, Carnegie Mellon University,49719,IOT ELECTIVE,A4,Lect,11,12,92%,15.64,4.73,4.45,4.55,4.73,4.55,4.27,4.82,4.45,4.55

Spring,2016,JOHN LANKFORD, Carnegie Mellon University,49720,PRODUCT & BRAND MGMT,A3,Lect,21,31,68%,10.14,4.48,4.33,4.52,4.19,4.62,4.57,4.38,4.48,4.52

Spring,2016,ANDERSON, E.  (co-taught), Carnegie Mellon University,49741,IPD CAPSTONE,A,Lect,27,31,87%,16.93,4.59,4.48,4.52,4.52,4.56,4.37,4.52,4.37,4.48

Spring,2016,KARA, L.  (co-taught), Carnegie Mellon University,49741,IPD CAPSTONE,A,Lect,27,31,87%,16.93,4.70,4.52,4.59,4.67,4.70,4.63,4.70,4.59,4.52

Spring,2016,BOATWRIGHT, P.  (co-taught), Carnegie Mellon University,49741,IPD CAPSTONE,A,Lect,27,31,87%,16.93,4.59,4.63,4.59,4.63,4.59,4.56,4.70,4.52,4.52

Spring,2016,ANTHONY WASSERMAN, Carnegie Mellon University,49762,SW PROD STRATEGY,B3,Lect,9,15,60%,12.00,4.44,4.44,4.44,4.78,4.33,4.33,4.44,4.33,4.44

Spring,2016,RAVI THOMAS, Carnegie Mellon University,49763,BUS OF SOFTWARE,B4,Lect,9,14,64%,9.13,4.11,3.67,3.89,3.44,3.89,3.78,4.44,3.67,3.44

Spring,2016,RINA LEVY, Carnegie Mellon University,49771,PROCESS PROJ MNGT,A3,Lect,13,23,57%,11.83,3.31,3.38,3.38,3.46,3.38,2.92,3.46,2.77,3.23

Spring,2016,SHERYL ROOT, Carnegie Mellon University,49771,PROCESS PROJ MNGT,B3,Lect,13,20,65%,16.15,4.77,4.85,4.62,4.85,4.69,4.77,4.85,4.77,4.54

Spring,2016,SHERYL ROOT, Carnegie Mellon University,49771,PROCESS PROJ MNGT,R3,Lect,3,3,100%,13.33,4.67,4.67,5.00,4.33,4.67,4.67,5.00,4.67,4.00

Spring,2016,PAOLO MALABUYO, Carnegie Mellon University,49780,HCI,B4,Lect,19,24,79%,12.67,4.89,4.58,4.84,4.79,4.84,4.95,4.79,4.78,4.68

Spring,2016,KARIMULLA SHAIKH, Carnegie Mellon University,49781,DATA ANALYTICS,B4,Lect,9,24,38%,9.88,3.56,3.22,3.00,3.56,3.22,2.56,4.33,2.78,2.56

Spring,2016,SUKHJIT SINGH, Carnegie Mellon University,49784,JAVA SMARTPHONE DEV,A,Lect,6,14,43%,18.50,2.83,2.67,3.00,2.50,2.83,3.00,2.67,2.17,3.33

Spring,2016,JOHN EVANS, Carnegie Mellon University,49801,ENTERPRISE INNOVATIO,A,Lect,11,14,79%,11.18,4.82,4.82,4.82,4.82,4.82,4.82,5.00,4.91,4.91

Spring,2016,JOHN EVANS, Carnegie Mellon University,49801,ENTERPRISE INNOVATIO,B,Lect,12,26,46%,13.42,4.92,4.75,4.58,4.92,4.75,4.83,4.92,4.92,4.92

Spring,2016,JOHN EVANS, Carnegie Mellon University,49801,ENTERPRISE INNOVATIO,R,Lect,2,4,50%,21.00,5.00,4.00,4.00,4.50,4.00,4.00,5.00,5.00,4.50

Spring,2016,SHERYL ROOT, Carnegie Mellon University,49804,LEADERSHIP CHALLENGE,A4,Lect,26,33,79%,7.64,4.50,4.19,4.00,4.54,4.69,4.42,4.77,4.27,4.00

Spring,2016,SHERYL ROOT, Carnegie Mellon University,49804,LEADERSHIP CHALLENGE,B4,Lect,13,18,72%,6.25,4.92,4.75,4.69,4.85,4.92,4.85,4.92,4.85,4.54

Spring,2016,JOHN EVANS, Carnegie Mellon University,49805,SPECIAL TOPICS CIP-2,A,Lect,12,16,75%,9.00,4.58,3.75,3.92,3.92,4.33,4.08,4.67,4.17,3.67

Semester,Year,Instructor,College,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Feedback to students,6: Importance of subject,7: Explains subject matter ,8: Show respect for students,9: Overall teaching,10: Overall course

,2015,,,,Year of 2015,,,955,1357,70%,9.1,4.39,4.19,4.23,4.14,4.32,4.22,4.56,4.2,4.05

